,ClassType,WeaponSet,WeaponType,Level,AtkSpd,Atk,SPD,BossDMG,IED,MainStat,SecStat,HP,MAtk
0,Pathfinder,Fensalir,AncientBow,140,6,115,14,0,0,0,0,0,0
1,Pathfinder,Fafnir,AncientBow,150,6,160,0,30,10,40,40,0,0
2,Pathfinder,Absolab,AncientBow,160,6,192,12,30,10,60,60,0,0
3,Pathfinder,Arcane,AncientBow,200,6,276,19,30,20,100,100,0,0
4,Pathfinder,Genesis,AncientBow,200,6,318,19,30,20,150,150,0,0
5,Blaster,Fensalir,ArmCannon,140,5,90,0,0,0,0,0,0,0
6,Blaster,Fafnir,ArmCannon,150,5,128,0,30,10,40,40,0,0
7,Blaster,Absolab,ArmCannon,160,5,154,0,30,10,60,60,0,0
8,Blaster,Arcane,ArmCannon,200,5,221,0,30,20,100,100,0,0
9,Blaster,Genesis,ArmCannon,200,5,255,0,30,20,150,150,0,0
10,Adele,Fensalir,Tuner,140,4,122,0,0,0,0,0,0,0
11,Adele,Fafnir,Tuner,150,4,171,0,30,10,40,40,0,0
12,Adele,Absolab,Tuner,160,4,205,0,30,10,60,60,0,0
13,Adele,Arcane,Tuner,200,4,295,0,30,20,100,100,0,0
14,Adele,Genesis,Tuner,200,4,340,0,30,20,150,150,0,0
15,Bowman,Fensalir,Bow,140,6,115,14,0,0,0,0,0,0
16,Bowman,Fafnir,Bow,150,6,160,0,30,10,40,40,0,0
17,Bowman,Absolab,Bow,160,6,192,12,30,10,60,60,0,0
18,Bowman,Arcane,Bow,200,6,276,19,30,20,100,100,0,0
19,Bowman,Genesis,Bow,200,6,318,19,30,20,150,150,0,0
20,Phantom,Fensalir,Cane,140,5,118,0,0,0,0,0,0,0
21,Phantom,Fafnir,Cane,150,5,164,0,30,10,40,0,0,0
22,Phantom,Absolab,Cane,160,5,197,0,30,10,60,0,0,0
23,Phantom,Arcane,Cane,200,5,283,0,30,20,100,0,0,0
24,Phantom,Genesis,Cane,200,5,326,0,30,20,150,0,0,0
25,Cadena,Fensalir,Chain,140,4,115,0,0,0,0,0,0,0
26,Cadena,Fafnir,Chain,150,4,160,0,30,10,40,0,0,0
27,Cadena,Absolab,Chain,160,4,192,0,30,10,60,0,0,0
28,Cadena,Arcane,Chain,200,4,276,0,30,20,100,0,0,0
29,Cadena,Genesis,Chain,200,4,318,0,30,20,150,0,0,0
30,Thief,Fensalir,Claw,140,4,62,0,0,0,0,0,0,0
31,Thief,Fafnir,Claw,150,4,86,0,30,10,40,0,0,0
32,Thief,Absolab,Claw,160,4,103,0,30,10,60,0,0,0
33,Thief,Arcane,Claw,200,4,149,0,30,20,100,0,0,0
34,Thief,Genesis,Claw,200,5,172,0,30,20,150,0,0,0
35,Bowman,Fensalir,Crossbow,140,6,118,14,0,0,0,0,0,0
36,Bowman,Fafnir,Crossbow,150,6,164,0,30,10,40,40,0,0
37,Bowman,Absolab,Crossbow,160,6,197,0,30,10,60,60,0,0
38,Bowman,Arcane,Crossbow,200,6,283,19,30,20,100,100,0,0
39,Bowman,Genesis,Crossbow,200,6,326,19,30,20,150,150,0,0
40,Thief,Fensalir,Dagger,140,4,115,0,0,0,0,0,0,0
41,Thief,Fafnir,Dagger,150,4,160,0,30,10,40,0,0,0
42,Thief,Absolab,Dagger,160,4,192,0,30,10,60,0,0,0
43,Thief,Arcane,Dagger,200,4,276,0,30,20,100,0,0,0
44,Thief,Genesis,Dagger,200,4,318,0,30,20,150,0,0,0
