SF, Stat, nonWDEF, Odef, HP, MP, ATK,NonWAtk, ShoeSpeed, ShoeJump, GloveAtk
1,2,5,5,5,5,2,0,0,0,0
2,2,5,5,5,5,2,0,0,0,0
3,2,5,5,5,5,2,0,1,1,0
4,2,5,5,10,10,2,0,1,1,0
5,2,5,5,10,10,2,0,1,1,1
6,3,5,5,15,15,2,0,1,1,0
7,3,5,5,15,15,2,0,1,1,1
8,3,5,5,20,20,2,0,1,1,0
9,3,5,5,20,20,2,0,1,1,1
10,3,5,5,25,25,2,0,1,1,0
11,3,5,5,25,25,2,0,2,2,1
12,3,5,5,25,25,2,0,2,2,0
13,3,5,5,25,25,2,0,2,2,1
14,3,5,5,25,25,2,0,2,2,1
15,3,5,5,25,25,2,0,2,2,1
16,7;9;11;13;15,5,5,0,0,6;7;8;9;13,7;8;9;10;12,0,0,0
17,7;9;11;13;15,5,5,0,0,7;8;9;9;13,8;9;10;11;13,0,0,0
18,7;9;11;13;15,5,5,0,0,7;8;9;10;14,9;10;11;12;14,0,0,0
19,7;9;11;13;16,5,5,0,0,8;9;10;11;14,10;11;12;13;15,0,0,0
20,7;9;11;13;17,5,5,0,0,9;10;11;12;15,11;12;13;14;16,0,0,0
21,7;9;11;13;18,5,5,0,0,0;11;12;13;16,0;13;14;15;17,0,0,0
22,7;9;11;13;19,5,5,0,0,0;12;13;14;17,0;15;16;17;19,0,0,0
23,0,5,5,0,0,0;30;31;32;34,0;17;18;19;21,0,0,0
24,0,5,5,0,0,0;31;32;33;35,0;19;20;21;23,0,0,0
25,0,5,5,0,0,0;32;33;35;36,0;21;22;23;25,0,0,0
